entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2023-10-26,166.89,5.991970759182696,163.55219999999997,175.2345,CLOSED,1000.0,2023-11-02,177.57,63.99424770807123,TARGET HIT
2024-01-03,184.25,5.774731330844348,180.565,193.4625,CLOSED,1063.9942477080713,2024-01-22,193.89,55.66841002933944,TARGET HIT
2024-02-13,185.04,6.0509222748454965,181.33919999999998,194.292,CLOSED,1119.6626577374107,2024-02-26,181.16,-23.4775784264005,STOP-LOSS
2024-02-27,182.63,6.002218032694575,178.9774,191.7615,CLOSED,1096.1850793110102,2024-03-04,175.1,-45.196701786190154,STOP-LOSS
2024-03-05,170.12,6.177923686367388,166.7176,178.626,CLOSED,1050.98837752482,2024-03-20,178.67,52.82124751844106,TARGET HIT
2024-07-30,218.8,5.044833752482911,214.424,229.74,CLOSED,1103.8096250432611,2024-08-05,209.27,-48.07726566116215,STOP-LOSS
2024-08-06,207.23,5.094495774656656,203.0854,217.5915,CLOSED,1055.7323593820988,2024-08-13,221.27,71.52672067617956,TARGET HIT
2024-09-17,216.79,5.199774344103872,212.4542,227.6295,CLOSED,1127.2590800582784,2024-09-19,228.87,62.81327407677484,TARGET HIT
2024-11-04,222.01,5.360444818409321,217.5698,233.1105,CLOSED,1190.0723541350533,2024-11-26,235.06,69.9538048802417,TARGET HIT
2025-01-13,234.4,5.375538221055012,229.712,246.12,CLOSED,1260.026159015295,2025-01-16,228.26,-33.00580467727785,STOP-LOSS
2025-01-17,229.98,5.335335047995552,225.38039999999998,241.479,CLOSED,1227.0203543380171,2025-01-21,222.64,-39.16135925228737,STOP-LOSS
2025-01-22,223.83,5.306969553168608,219.35340000000002,235.02150000000003,CLOSED,1187.8589950857297,2025-01-28,238.26,76.5795706522229,TARGET HIT
