entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2023-10-20,211.99,4.717203641681211,207.7502,222.58950000000002,CLOSED,1000.0,2023-10-26,205.76,-29.388178687674028,STOP-LOSS
2023-10-27,207.3,4.6821602571747505,203.154,217.66500000000002,CLOSED,970.6118213123259,2023-10-30,197.36,-46.54067295631701,STOP-LOSS
2023-10-31,200.84,4.601031409858638,196.82319999999999,210.882,CLOSED,924.0711483560088,2023-11-02,218.51,81.30022501220206,TARGET HIT
2024-01-12,218.89,4.59304387303308,214.51219999999998,229.8345,CLOSED,1005.3713733682108,2024-01-18,211.88,-32.19723754996185,STOP-LOSS
2024-01-19,212.19,4.586333643518776,207.9462,222.7995,CLOSED,973.174135818249,2024-01-24,207.83,-19.996414685741794,STOP-LOSS
2024-01-25,182.63,5.219173854966365,178.9774,191.7615,CLOSED,953.1777211325073,2024-02-09,193.57,57.09776197333202,TARGET HIT
2024-08-05,198.88,5.079824432350358,194.9024,208.824,CLOSED,1010.2754831058392,2024-08-07,191.76,-36.16834995833457,STOP-LOSS
2024-08-09,200.0,4.870535665737523,196.0,210.0,CLOSED,974.1071331475046,2024-08-15,214.14,68.86937431352851,TARGET HIT
2024-10-14,219.16,4.758972930557735,214.77679999999998,230.118,CLOSED,1042.9765074610332,2024-10-23,213.65,-26.221940847373077,STOP-LOSS
2025-02-07,361.62,2.8116657447421605,354.3876,379.701,CLOSED,1016.7545666136601,2025-02-10,350.73,-30.619039960242088,STOP-LOSS
2025-02-11,328.5,3.001934632126082,321.93,344.925,CLOSED,986.135526653418,2025-02-13,355.94,82.37308630553969,TARGET HIT
